Timestamp,IP_Address,Request_Type,Status_Code,User_Agent,Session_ID,Location
2023-01-01 12:34:00,209.209.19.53,DELETE,200,Firefox,3541,France
2023-01-01 12:35:00,65.49.211.106,POST,500,Chrome,2403,France
2023-01-01 12:36:00,254.151.221.34,POST,404,Safari,1890,Canada
2023-01-01 12:37:00,254.73.210.217,POST,403,Safari,3210,Germany
2023-01-01 12:38:00,81.22.150.19,GET,403,Opera,2889,Canada
2023-01-01 12:39:00,84.115.169.118,GET,404,Bot,2827,Germany
2023-01-01 12:40:00,139.188.84.132,DELETE,404,Edge,1571,France
2023-01-01 12:41:00,194.145.127.156,DELETE,404,Firefox,4700,India
2023-01-01 12:42:00,191.198.223.87,PUT,301,Edge,1451,Canada
2023-01-01 12:43:00,35.140.213.14,GET,200,Safari,4378,Germany
2023-01-01 12:44:00,160.247.234.204,DELETE,500,Opera,1045,France
2023-01-01 12:45:00,174.239.57.116,POST,301,Safari,2928,France
2023-01-01 12:46:00,178.142.54.144,PUT,200,Chrome,3457,India
2023-01-01 12:47:00,23.10.142.60,DELETE,200,Bot,2276,China
2023-01-01 12:48:00,81.149.61.148,GET,500,Firefox,3990,China
2023-01-01 12:49:00,251.68.210.116,GET,200,Edge,3951,India
2023-01-01 12:50:00,102.49.181.144,DELETE,301,Bot,3256,China
2023-01-01 12:51:00,22.194.249.148,PUT,404,Firefox,1172,France
2023-01-01 12:52:00,225.246.234.147,PUT,500,Bot,1775,China
2023-01-01 12:53:00,208.169.40.51,DELETE,500,Opera,3783,China
2023-01-01 12:54:00,42.15.99.28,GET,403,Opera,1797,Germany
2023-01-01 12:55:00,82.224.183.170,PUT,500,Firefox,4587,China
2023-01-01 12:56:00,234.243.15.226,GET,403,Edge,1383,Canada
2023-01-01 12:57:00,69.122.170.130,PUT,404,Safari,1978,Canada
2023-01-01 12:58:00,87.67.212.212,GET,403,Bot,1642,USA
2023-01-01 12:59:00,150.6.249.60,PUT,500,Edge,3487,Brazil
